time,lat,lng,accuracy,altitude,speed,satellites in view,satellites in use
694979,6.24224240,-75.55552500,32,1569.69995,0.00000,0,0
695980,6.24224240,-75.55552500,32,1569.69995,0.00000,0,0
696981,6.24224240,-75.55552500,32,1569.69995,0.00000,0,0
698100,6.24224240,-75.55552500,32,1569.69995,0.00000,0,0
699132,6.24230910,-75.55565750,38,1569.19995,0.00000,0,0
700180,6.24230910,-75.55565750,38,1569.19995,0.00000,0,0
701180,6.24230910,-75.55565750,38,1569.19995,0.00000,0,0
702181,6.24230910,-75.55565750,38,1569.19995,0.00000,0,0
703184,6.24230910,-75.55565750,38,1569.19995,0.00000,0,0
704181,6.24232210,-75.55562870,33,1569.19995,0.00000,0,0
705181,6.24232210,-75.55562870,33,1569.19995,0.00000,0,0
706235,6.24232210,-75.55562870,33,1569.19995,0.00000,0,0
707233,6.24232210,-75.55562870,33,1569.19995,0.00000,0,0
708231,6.24232210,-75.55562870,33,1569.19995,0.00000,0,0
709231,6.24229880,-75.55566010,35,0.00000,0.00000,0,0
710232,6.24229880,-75.55566010,35,0.00000,0.00000,0,0
711281,6.24229880,-75.55566010,35,0.00000,0.00000,0,0
712280,6.24229880,-75.55566010,35,0.00000,0.00000,0,0
713281,6.24229880,-75.55566010,35,0.00000,0.00000,0,0
714332,6.24259280,-75.55604090,39,0.00000,0.00000,0,0
715332,6.24259280,-75.55604090,39,0.00000,0.00000,0,0
716331,6.24259280,-75.55604090,39,0.00000,0.00000,0,0
717332,6.24259280,-75.55604090,39,0.00000,0.00000,0,0
718388,6.24259280,-75.55604090,39,0.00000,0.00000,0,0
719382,6.24258780,-75.55637830,29,0.00000,0.00000,0,0
720381,6.24258780,-75.55637830,29,0.00000,0.00000,0,0
721431,6.24258780,-75.55637830,29,0.00000,0.00000,0,0
722432,6.24258780,-75.55637830,29,0.00000,0.00000,0,0
723435,6.24258780,-75.55637830,29,0.00000,0.00000,0,0
724431,6.24278490,-75.55665810,29,1563.09998,0.00000,0,0
725432,6.24278490,-75.55665810,29,1563.09998,0.00000,0,0
726431,6.24278490,-75.55665810,29,1563.09998,0.00000,0,0
727433,6.24278490,-75.55665810,29,1563.09998,0.00000,0,0
728484,6.24278490,-75.55665810,29,1563.09998,0.00000,0,0
729531,6.24313310,-75.55687620,30,0.00000,0.00000,0,0
730532,6.24313310,-75.55687620,30,0.00000,0.00000,0,0
731527,6.24313310,-75.55687620,30,0.00000,0.00000,0,0
732532,6.24313310,-75.55687620,30,0.00000,0.00000,0,0
